source_dataset,source_row_number,sample_id,time_utc,latitude,longitude,site,label,flight_id,segment,metered_release_rate_kg_hr,ground_truth_source,mapping_status
67_all45_ground_truth_nc_mapping.csv,32,RF01E_seg10,2022-10-25T20:29:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,10,74.65,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,33,RF01E_seg11,2022-10-25T20:46:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,11,63.03,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,35,RF03E_seg02,2022-10-29T16:50:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,2,340.16,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,36,RF03E_seg03,2022-10-29T17:17:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,3,671.74,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,37,RF03E_seg04,2022-10-29T17:42:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,4,405.59,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,38,RF03E_seg05,2022-10-29T18:07:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,5,33.61,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,39,RF03E_seg06,2022-10-29T18:31:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,6,337.56,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,40,RF03E_seg07,2022-10-29T18:54:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,7,818.3,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,41,RF03E_seg08,2022-10-29T19:16:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,8,1060.77,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,42,RF03E_seg09,2022-10-29T19:38:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,9,1289.35,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,43,RF03E_seg10,2022-10-29T19:59:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,10,585.32,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,44,RF03E_seg11,2022-10-29T20:21:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,11,199.26,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,45,RF03E_seg12,2022-10-29T20:42:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,12,493.52,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,46,RF03E_seg13,2022-10-29T21:02:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF03E,13,168.86,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
40_five_site_time_coordinates_all_75_rows.csv,29,S2_HIGH_CLEAN_05,2022-11-08T18:15:51Z,32.82184212617719,-111.78575412267914,Casa_Grande_AZ_release_stacks,1,,,,2024_AMT,
40_five_site_time_coordinates_all_75_rows.csv,31,S2_HIGH_CLEAN_06,2022-11-15T18:06:21Z,32.82184212617719,-111.78575412267914,Casa_Grande_AZ_release_stacks,1,,,,2024_AMT,
40_five_site_time_coordinates_all_75_rows.csv,32,S2_HIGH_CLEAN_07,2022-11-18T18:16:41Z,32.82184212617719,-111.78575412267914,Casa_Grande_AZ_release_stacks,1,,,,2024_AMT,
40_five_site_time_coordinates_all_75_rows.csv,49,MethaneAIR_site_043_positive_001,2023-06-02T16:04:29Z,32.246277317432046,-93.2856622186733,MethaneAIR_site_043,1,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,50,MethaneAIR_site_043_positive_002,2023-06-27T16:15:10Z,32.24519283266435,-93.28650804825656,MethaneAIR_site_043,1,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,51,MethaneAIR_site_038_positive_001,2023-07-19T14:09:38Z,32.201059790761924,-103.68501808675067,MethaneAIR_site_038,1,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,47,MethaneAIR_site_073_positive_001,2023-07-31T14:10:07Z,39.4876382946067,-80.54822647323547,MethaneAIR_site_073,1,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,48,MethaneAIR_site_073_positive_002,2023-09-04T14:11:51Z,39.48816803692425,-80.54543215634624,MethaneAIR_site_073,1,,,,MethaneAIR,
40_five_site_time_coordinates_all_75_rows.csv,52,MethaneAIR_site_038_positive_002,2023-10-03T16:45:23Z,32.200325014094986,-103.6837555860098,MethaneAIR_site_038,1,,,,MethaneAIR,
