plume_id,status,reason,source_mask,reference,reference_kind,out_mask,positive_pixels
GAO20191010t162620p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-A/s2_mask_512.tif,326
GAO20191010t162620p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-B/s2_mask_512.tif,96
GAO20191010t162620p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-C/s2_mask_512.tif,47
GAO20191010t162620p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-D/s2_mask_512.tif,219
GAO20191010t162620p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-E/s2_mask_512.tif,108
GAO20191010t162620p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-F/s2_mask_512.tif,409
GAO20191010t162620p0000-G,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-G/s2_mask_512.tif,495
GAO20191010t162620p0000-H,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t162620p0000-H/s2_mask_512.tif,73
GAO20191010t164043p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-A/s2_mask_512.tif,64
GAO20191010t164043p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-B/s2_mask_512.tif,29
GAO20191010t164043p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-C/s2_mask_512.tif,62
GAO20191010t164043p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-D/s2_mask_512.tif,32
GAO20191010t164043p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-E/s2_mask_512.tif,36
GAO20191010t164043p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-F/s2_mask_512.tif,60
GAO20191010t164043p0000-G,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-G/s2_mask_512.tif,36
GAO20191010t164043p0000-H,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-H/s2_mask_512.tif,85
GAO20191010t164043p0000-I,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-I/s2_mask_512.tif,49
GAO20191010t164043p0000-J,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-J/s2_mask_512.tif,1359
GAO20191010t164043p0000-K,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-K/s2_mask_512.tif,95
GAO20191010t164043p0000-L,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-L/s2_mask_512.tif,26
GAO20191010t164043p0000-M,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-M/s2_mask_512.tif,22
GAO20191010t164043p0000-N,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-N/s2_mask_512.tif,88
GAO20191010t164043p0000-O,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-O/s2_mask_512.tif,513
GAO20191010t164043p0000-P,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t164043p0000-P/s2_mask_512.tif,249
GAO20191010t170025p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-A/s2_mask_512.tif,199
GAO20191010t170025p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-B/s2_mask_512.tif,776
GAO20191010t170025p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-C/s2_mask_512.tif,99
GAO20191010t170025p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-D/s2_mask_512.tif,17
GAO20191010t170025p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-E/s2_mask_512.tif,18
GAO20191010t170025p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-F/s2_mask_512.tif,26
GAO20191010t170025p0000-G,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-G/s2_mask_512.tif,193
GAO20191010t170025p0000-H,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-H/s2_mask_512.tif,18
GAO20191010t170025p0000-I,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-I/s2_mask_512.tif,34
GAO20191010t170025p0000-J,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-J/s2_mask_512.tif,21
GAO20191010t170025p0000-K,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t170025p0000-K/s2_mask_512.tif,26
GAO20191010t171502p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-A/s2_mask_512.tif,70
GAO20191010t171502p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-B/s2_mask_512.tif,45
GAO20191010t171502p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-C/s2_mask_512.tif,47
GAO20191010t171502p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-D/s2_mask_512.tif,64
GAO20191010t171502p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-E/s2_mask_512.tif,41
GAO20191010t171502p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-F/s2_mask_512.tif,19
GAO20191010t171502p0000-G,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-G/s2_mask_512.tif,24
GAO20191010t171502p0000-H,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-H/s2_mask_512.tif,22
GAO20191010t171502p0000-I,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-I/s2_mask_512.tif,110
GAO20191010t171502p0000-J,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-J/s2_mask_512.tif,110
GAO20191010t171502p0000-K,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-K/s2_mask_512.tif,22
GAO20191010t171502p0000-L,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-L/s2_mask_512.tif,59
GAO20191010t171502p0000-M,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-M/s2_mask_512.tif,140
GAO20191010t171502p0000-N,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-N/s2_mask_512.tif,38
GAO20191010t171502p0000-O,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t171502p0000-O/s2_mask_512.tif,606
GAO20191012t175419p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191012t175419p0000-A/s2_mask_512.tif,105
GAO20191012t185226p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191012t185226p0000-B/s2_mask_512.tif,467
GAO20191013t170924p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191013t170924p0000-A/s2_mask_512.tif,330
GAO20191017t182001p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191017t182001p0000-A/s2_mask_512.tif,488
GAO20191017t183338p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191017t183338p0000-C/s2_mask_512.tif,36
GAO20191017t183338p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191017t183338p0000-E/s2_mask_512.tif,242
GAO20191017t183338p0000-J,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191017t183338p0000-J/s2_mask_512.tif,11
GAO20191017t184807p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191017t184807p0000-A/s2_mask_512.tif,11
GAO20191017t190156p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191017t190156p0000-D/s2_mask_512.tif,44
GAO20191018t155430p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t155430p0000-A/s2_mask_512.tif,43
GAO20191018t155430p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t155430p0000-B/s2_mask_512.tif,54
GAO20191018t160542p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t160542p0000-A/s2_mask_512.tif,102
GAO20191018t160542p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t160542p0000-B/s2_mask_512.tif,221
GAO20191018t162013p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t162013p0000-A/s2_mask_512.tif,121
GAO20191018t162013p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t162013p0000-B/s2_mask_512.tif,90
GAO20191018t162013p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t162013p0000-C/s2_mask_512.tif,33
GAO20191018t162013p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t162013p0000-D/s2_mask_512.tif,150
GAO20191018t163314p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t163314p0000-A/s2_mask_512.tif,104
GAO20191018t163314p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t163314p0000-B/s2_mask_512.tif,27
GAO20191018t163314p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t163314p0000-C/s2_mask_512.tif,99
GAO20191018t163314p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t163314p0000-D/s2_mask_512.tif,96
GAO20191018t164922p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t164922p0000-A/s2_mask_512.tif,114
GAO20191018t164922p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t164922p0000-B/s2_mask_512.tif,81
GAO20191018t170521p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t170521p0000-A/s2_mask_512.tif,32
GAO20191018t170521p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t170521p0000-B/s2_mask_512.tif,131
GAO20191018t170521p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t170521p0000-C/s2_mask_512.tif,950
GAO20191018t170521p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t170521p0000-D/s2_mask_512.tif,118
GAO20191018t170521p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t170521p0000-E/s2_mask_512.tif,35
GAO20191018t172527p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191018t172527p0000-A/s2_mask_512.tif,66
GAO20191019t174717p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t174717p0000-A/s2_mask_512.tif,40
GAO20191019t174717p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t174717p0000-B/s2_mask_512.tif,85
GAO20191019t174717p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t174717p0000-C/s2_mask_512.tif,141
GAO20191019t174717p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t174717p0000-D/s2_mask_512.tif,48
GAO20191019t174717p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t174717p0000-E/s2_mask_512.tif,93
GAO20191019t174717p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t174717p0000-F/s2_mask_512.tif,196
GAO20191019t180726p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t180726p0000-A/s2_mask_512.tif,175
GAO20191019t180726p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t180726p0000-B/s2_mask_512.tif,116
GAO20191019t182124p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t182124p0000-A/s2_mask_512.tif,322
GAO20191019t182124p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t182124p0000-B/s2_mask_512.tif,83
GAO20191019t182124p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t182124p0000-C/s2_mask_512.tif,31
GAO20191019t184202p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t184202p0000-A/s2_mask_512.tif,3312
GAO20191019t184202p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t184202p0000-B/s2_mask_512.tif,406
GAO20191019t185547p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t185547p0000-A/s2_mask_512.tif,9079
GAO20191019t185547p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t185547p0000-B/s2_mask_512.tif,77
GAO20191019t191619p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t191619p0000-A/s2_mask_512.tif,133
GAO20191019t191619p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191019t191619p0000-B/s2_mask_512.tif,1393
GAO20191020t151740p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t151740p0000-A/s2_mask_512.tif,371
GAO20191020t153619p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t153619p0000-A/s2_mask_512.tif,68
GAO20191020t153619p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t153619p0000-B/s2_mask_512.tif,228
GAO20191020t153619p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t153619p0000-C/s2_mask_512.tif,63
GAO20191020t153619p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t153619p0000-D/s2_mask_512.tif,112
GAO20191020t155133p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t155133p0000-A/s2_mask_512.tif,418
GAO20191020t161013p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t161013p0000-A/s2_mask_512.tif,32
GAO20191020t161013p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t161013p0000-B/s2_mask_512.tif,35
GAO20191020t163829p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t163829p0000-A/s2_mask_512.tif,430
GAO20191020t163829p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t163829p0000-B/s2_mask_512.tif,51
GAO20191020t163829p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t163829p0000-C/s2_mask_512.tif,17
GAO20191020t163829p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t163829p0000-D/s2_mask_512.tif,44
GAO20191020t165717p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t165717p0000-A/s2_mask_512.tif,31
GAO20191020t165717p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t165717p0000-B/s2_mask_512.tif,287
GAO20191020t165717p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t165717p0000-C/s2_mask_512.tif,54
GAO20191020t165717p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t165717p0000-D/s2_mask_512.tif,54
GAO20191020t165717p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t165717p0000-E/s2_mask_512.tif,75
GAO20191020t165717p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t165717p0000-F/s2_mask_512.tif,224
GAO20191020t171158p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t171158p0000-A/s2_mask_512.tif,60
GAO20191020t171158p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t171158p0000-B/s2_mask_512.tif,50
GAO20191020t171158p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t171158p0000-C/s2_mask_512.tif,36
GAO20191020t171158p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t171158p0000-D/s2_mask_512.tif,60
GAO20191020t171158p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t171158p0000-E/s2_mask_512.tif,458
GAO20191020t171158p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t171158p0000-F/s2_mask_512.tif,30
GAO20191020t173137p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t173137p0000-A/s2_mask_512.tif,29
GAO20191020t173137p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t173137p0000-B/s2_mask_512.tif,63
GAO20191020t173137p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t173137p0000-C/s2_mask_512.tif,430
GAO20191020t173137p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t173137p0000-D/s2_mask_512.tif,43
GAO20191020t173137p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t173137p0000-E/s2_mask_512.tif,121
GAO20191020t173137p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191020t173137p0000-F/s2_mask_512.tif,24
GAO20191022t175740p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t175740p0000-A/s2_mask_512.tif,106
GAO20191022t175740p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t175740p0000-B/s2_mask_512.tif,43
GAO20191022t175740p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t175740p0000-C/s2_mask_512.tif,19
GAO20191022t181133p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t181133p0000-A/s2_mask_512.tif,48
GAO20191022t181133p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t181133p0000-B/s2_mask_512.tif,14
GAO20191022t181133p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t181133p0000-C/s2_mask_512.tif,189
GAO20191022t181133p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t181133p0000-D/s2_mask_512.tif,47
GAO20191022t182544p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t182544p0000-A/s2_mask_512.tif,80
GAO20191022t182544p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t182544p0000-B/s2_mask_512.tif,591
GAO20191022t182544p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t182544p0000-C/s2_mask_512.tif,20
GAO20191022t183947p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t183947p0000-A/s2_mask_512.tif,728
GAO20191022t183947p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t183947p0000-B/s2_mask_512.tif,417
GAO20191022t185225p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t185225p0000-A/s2_mask_512.tif,55
GAO20191022t185651p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t185651p0000-A/s2_mask_512.tif,206
GAO20191022t185651p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t185651p0000-B/s2_mask_512.tif,32
GAO20191022t185651p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t185651p0000-C/s2_mask_512.tif,373
GAO20191022t185651p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t185651p0000-D/s2_mask_512.tif,65
GAO20191022t185651p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191022t185651p0000-E/s2_mask_512.tif,38
GAO20191023t145412p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-A/s2_mask_512.tif,37
GAO20191023t145412p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-B/s2_mask_512.tif,86
GAO20191023t145412p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-C/s2_mask_512.tif,120
GAO20191023t145412p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-D/s2_mask_512.tif,229
GAO20191023t145412p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-E/s2_mask_512.tif,137
GAO20191023t145412p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-F/s2_mask_512.tif,116
GAO20191023t145412p0000-G,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-G/s2_mask_512.tif,66
GAO20191023t145412p0000-H,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-H/s2_mask_512.tif,53
GAO20191023t145412p0000-I,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t145412p0000-I/s2_mask_512.tif,77
GAO20191023t151100p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t151100p0000-A/s2_mask_512.tif,45
GAO20191023t151100p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t151100p0000-B/s2_mask_512.tif,92
GAO20191023t151100p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t151100p0000-C/s2_mask_512.tif,103
GAO20191023t151100p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t151100p0000-D/s2_mask_512.tif,73
GAO20191023t151100p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t151100p0000-E/s2_mask_512.tif,31
GAO20191023t151100p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t151100p0000-F/s2_mask_512.tif,127
GAO20191023t152337p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191023t152337p0000-A/s2_mask_512.tif,3066
