plume_id,status,reason,mask_positive_pixels,mask_center20_sum,s2_0_std_512,s2_-7_std_512,s2_prev2_std_512,s2_prev3_std_512,s2_-90_std_512,s2_-360_std_512,resized_512x512_path
GAO20191010t153310p0000-G,ok,,13,13,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-G/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-G/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-G/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-G/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-G/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-G/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-G/resized_512x512.tif
GAO20191010t153310p0000-H,ok,,36,36,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-H/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-H/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-H/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-H/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-H/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-H/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-H/resized_512x512.tif
GAO20191010t155244p0000-A,ok,,15,15,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-A/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-A/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-A/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-A/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-A/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-A/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-A/resized_512x512.tif
GAO20191010t155244p0000-B,ok,,92,66,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-B/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-B/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-B/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-B/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-B/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-B/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-B/resized_512x512.tif
GAO20191010t155244p0000-C,ok,,45,45,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-C/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-C/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-C/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-C/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-C/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-C/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-C/resized_512x512.tif
GAO20191010t155244p0000-D,ok,,31,31,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-D/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-D/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-D/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-D/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-D/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-D/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-D/resized_512x512.tif
GAO20191010t155244p0000-E,ok,,20,20,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-E/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-E/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-E/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-E/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-E/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-E/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t155244p0000-E/resized_512x512.tif
GAO20191010t160715p0000-A,ok,,9,9,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-A/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-A/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-A/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-A/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-A/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-A/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-A/resized_512x512.tif
GAO20191010t160715p0000-B,ok,,58,55,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-B/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-B/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-B/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-B/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-B/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-B/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-B/resized_512x512.tif
GAO20191010t160715p0000-C,ok,,26,26,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-C/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-C/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-C/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-C/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-C/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-C/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t160715p0000-C/resized_512x512.tif
GAO20191010t162620p0000-A,ok,,353,118,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-A/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-A/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-A/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-A/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-A/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-A/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-A/resized_512x512.tif
GAO20191010t162620p0000-B,ok,,88,81,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-B/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-B/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-B/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-B/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-B/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-B/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-B/resized_512x512.tif
GAO20191010t162620p0000-C,ok,,40,40,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-C/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-C/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-C/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-C/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-C/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-C/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-C/resized_512x512.tif
GAO20191010t162620p0000-D,ok,,235,69,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-D/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-D/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-D/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-D/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-D/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-D/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-D/resized_512x512.tif
GAO20191010t162620p0000-E,ok,,104,104,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-E/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-E/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-E/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-E/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-E/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-E/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-E/resized_512x512.tif
GAO20191010t162620p0000-F,ok,,455,281,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-F/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-F/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-F/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-F/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-F/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-F/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-F/resized_512x512.tif
GAO20191010t162620p0000-G,ok,,597,119,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-G/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-G/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-G/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-G/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-G/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-G/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-G/resized_512x512.tif
GAO20191010t162620p0000-H,ok,,59,58,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-H/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-H/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-H/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-H/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-H/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-H/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t162620p0000-H/resized_512x512.tif
GAO20191010t164043p0000-A,ok,,58,57,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-A/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-A/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-A/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-A/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-A/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-A/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-A/resized_512x512.tif
GAO20191010t164043p0000-B,ok,,21,21,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-B/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-B/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-B/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-B/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-B/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-B/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-B/resized_512x512.tif
GAO20191010t164043p0000-C,ok,,54,54,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-C/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-C/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-C/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-C/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-C/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-C/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t164043p0000-C/resized_512x512.tif
